[Imports]
nth vaddr      bind   type   lib name
―――――――――――――――――――――――――――――――――――――
507 0x00409988 GLOBAL FUNC       sym.imp.AI_Engine::sensorDetInit()
510 0x00409998 GLOBAL FUNC       sym.imp.JsonValue::setValueInternal(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, JsonValue const&)
512 0x004099a8 GLOBAL FUNC       sym.imp.std::locale::id::_M_id() const
516 0x004099b8 GLOBAL FUNC       v4l2_h264_decoder_get_frame_info
518 0x004099c8 GLOBAL FUNC       udev_enumerate_scan_devices
520 0x004099d8 GLOBAL FUNC       lws_ring_create
521 0x004099e8 GLOBAL FUNC       udev_device_get_devnode
523 0x004099f8 GLOBAL FUNC       sym.imp.std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::push_back(char)
524 0x00409a08 GLOBAL FUNC       sym.imp.Json::Value::operator[](char const*)
525 0x00409a18 GLOBAL FUNC       perror
527 0x00409a28 GLOBAL FUNC       sym.imp.std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_erase(unsigned int, unsigned int)
528 0x00409a38 GLOBAL FUNC       pthread_setname_np
529 0x00409a48 GLOBAL FUNC       sym.imp.Json::Value::Value(char const*)
534 0x00409a58 GLOBAL FUNC       SHA256_Init
535 0x00409a68 GLOBAL FUNC       sym.imp.std::istream::operator>>(int&)
536 0x00409a78 GLOBAL FUNC       sym.imp.std::_Hash_bytes(void const*, unsigned int, unsigned int)
538 0x00409a88 GLOBAL FUNC       strerror
539 0x00409a98 GLOBAL FUNC       sym.imp.Json::Value::Value(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
540 0x00000000 WEAK   FUNC       __gmon_start__
541 0x0040a618 GLOBAL OBJ        sym.imp.typeinfo for std::exception
542 0x00409b18 GLOBAL FUNC       __gxx_personality_v0

