0x00480f1c   16 748          sym.mg_socketpair
0x00481208   12 340          sym.wufn
0x0048196c    5 92           sym.mg_tolc
0x004831cc    1 208          sym.umaal
0x0048329c    1 168          sym.adc
0x00483344    1 124          sym.adc0
0x004833c0    4 236          sym.propagate
0x004834ac    4 212          sym.add
0x00483580    4 304          sym.sub
0x004836b0   10 528          sym.mul
0x004838c0    1 76           sym.sqr
0x0048390c    1 76           sym.mul1
0x00483958    1 64           sym.sqr1
0x00483998    4 240          sym.condswap
0x00483a88    7 468          sym.canon
0x00483c5c    1 348          sym.ladder_part1
0x00483db8    1 200          sym.ladder_part2
0x00483e80   12 680          sym.x25519_core
0x00484494   24 576          sym.urlparse
0x00484f5c    5 80           sym.isbyte
0x00484fac   13 460          sym.parse_net
0x004855e8    5 384          sym.ws_handshake
0x00485768    1 108          sym.be32
0x004857d4   19 724          sym.ws_process
0x00485aa8    8 488          sym.mkhdr
0x00485c90    6 228          sym.mg_ws_mask
0x00485e64   13 396          sym.mg_ws_client_handshake
0x00485ff0   23 1016 -> 760  sym.mg_ws_cb
0x004867b4   19 292          sym.mg_phy_id_to_str
0x004870a4   11 272          sym.case_insensitive_strcmp
0x004871b4    6 176          sym.cJSON_strdup
0x00487390    3 108          sym.cJSON_New_Item
0x0048754c    1 36           sym.get_decimal_point
0x00487570   16 752  -> 476  sym.parse_number
0x00487b18   25 696          sym.ensure
0x00487dd0    5 152          sym.update_offset
0x00487e68    1 60           sym.compare_double
0x00487f60    3 196          sym.print_number
0x004882cc    1 28           loc.004882cc
0x004882e8   17 428          sym.parse_hex4
0x00488494   34 868          sym.utf16_literal_to_utf8
0x004887f8   31 1144 -> 908  sym.parse_string
0x00488c70   50 1092         sym.print_string_ptr
0x004890b4    1 72           sym.print_string
0x004890fc   14 272          sym.buffer_skip_whitespace
0x0048920c   10 220          sym.skip_utf8_bom
0x00489b08   35 996          sym.parse_value
0x00489630   18 576          sym.print
0x00489eec   36 760          sym.print_value
0x0048a1e4   34 844          sym.parse_array
0x0048a75c   42 1096         sym.parse_object
0x0048a530   22 556          sym.print_array
0x0048aba4   53 1192         sym.print_object
0x0048b0cc    8 140          sym.get_array_item
0x0048b1b4   18 304          sym.get_object_item
0x0048b3b4    1 68           sym.suffix_object
0x0048b3f8    6 192          sym.create_reference
0x0048b4b8   10 228          sym.add_item_to_array
0x0048b5dc    1 40           sym.cast_away_const
0x0048b604   15 352          sym.add_item_to_object
0x0048c41c   10 272          sym.replace_item_in_object
0x0048d4c8    6 156          sym.skip_oneline_comment
0x0048d564    7 184          sym.skip_multiline_comment
0x0048d61c    9 404          sym.minify_string
0x004a07c0    1 32           sym._PROCEDURE_LINKAGE_TABLE_
0x0048f3c8    1 8            sym..pic.fstat
0x0048e638    1 8            sym..pic.__moddi3
0x0048ea98    1 8            sym..pic.__udivdi3
0x00402e58    3 60           sym._init
0x0048f3f8    1 8            sym..pic.lstat
0x0048eed8    1 8            sym..pic.__umoddi3
0x0048f420    1 64           sym._MIPS_STUBS_
0x0048f398    1 8            sym..pic.stat
0x0048e1a8    1 8            sym..pic.__divdi3
0x00449c68   17 444          dbg.del_gcode_metadata_to_buf
0x0042bee8    7 392          dbg.start_timer
0x0048ca70    5 164          sym.cJSON_CreateRaw
0x004830f4    6 96           sym.mg_tls_send
0x00463d3c    7 204          dbg.web_request_get_params
0x0045df64    1 84           dbg.result_ok
